_id,station_number,stn_type,station_name_english,stn_name_heb,stn_long,stn_lat,isr_grid_X,isr_grid_Y,stn_hgt,date_open,date_close,stn_auto,stn_num_env,first_data_date,last_data_date,yearly_rain
25,1192,1,GALED,גלעד,35.0725,32.5564,207060,718020,180,2008-04-01T00:00:00,,1,263,2008-04,2024-04,0
26,1381,1,HADERA PORT,חדרה נמל,34.8815,32.4732,189090,708830,5,1996-01-01T00:00:00,,1,46,1996-01,2024-04,0
27,1460,1,GAN HASHOMERON,גן השומרון,34.9981,32.4661,200050,708020,50,1961-02-01T00:00:00,1987-03-31T00:00:00,0,,1964-01,1987-03,0
28,1470,1,EN SHEMER SCHOOL,"עין שמר בי""""ס",35.0042,32.4655,200620,707950,45,1963-07-01T00:00:00,1967-06-30T00:00:00,0,,1964-01,1967-06,0
29,1540,1,EN HAHORESH,עין החורש,34.9415,32.387,194710,699260,22,1949-01-01T00:00:00,1969-06-30T00:00:00,0,,1949-01,1969-06,0
30,1545,1,EN HAHORESH MAN,עין החורש מאוישת,34.9376,32.3877,194330,699330,15,1976-01-01T00:00:00,2014-10-31T00:00:00,0,,1976-01,2003-12,0
32,1546,1,EN HAHORESH,עין החורש,34.9376,32.3877,194330,699330,15,2004-08-01T00:00:00,,1,107,2004-08,2024-04,0
33,1550,1,EN HAHORESH,עין החורש,34.9419,32.3865,194750,699200,22,1969-07-01T00:00:00,1975-12-31T00:00:00,0,,1969-07,1975-12,0
34,1770,1,TAIYIBA,טייבה,35.0013,32.2715,200400,686400,55,1966-03-01T00:00:00,1969-09-30T00:00:00,0,,1966-03,1969-09,0
35,1780,1,EN WERED,עין ורד,34.9311,32.2692,193700,686200,60,1979-06-01T00:00:00,1984-12-31T00:00:00,0,,1979-06,1983-12,0
36,1790,1,TEL MOND JAIL,תל מונד בית סהר,34.8856,32.2421,189400,683100,25,1963-07-01T00:00:00,1971-10-31T00:00:00,0,,1964-01,1971-10,0
37,1980,1,HAKFAR HAYAROK,הכפר הירוק,34.8324,32.13,184350,670790,65,2003-02-01T00:00:00,,1,275,2003-02,2024-04,0
38,1990,1,SHAARE TIQWA,שערי תקוה,35.0254,32.1257,202570,670270,195,2008-10-01T00:00:00,2016-12-31T00:00:00,1,270,2008-12,2016-12,0
39,2030,1,TEL AVIV READING,תל אביב חוף רידינג,34.7791,32.1047,179300,668000,5,1939-08-01T00:00:00,1972-02-29T00:00:00,0,,1964-01,1972-02,0
40,2100,1,TEL AVIV PORT,תל אביב נמל,34.7739,32.0976,178810,667210,5,1950-01-01T00:00:00,1965-11-30T00:00:00,0,,1964-01,1965-11,0
41,2410,1,TEL AVIV COAST,תל-אביב חוף,34.7588,32.058,177380,662840,10,2005-04-01T00:00:00,,1,178,2005-04,2024-04,0
42,2419,1,YAFO PORT,יפו נמל,34.7512,32.055,176650,662500,5,1978-08-01T00:00:00,1993-09-30T00:00:00,0,,1978-08,1983-12,0
43,2420,1,YAFO PORT,יפו נמל,34.7511,32.0549,176640,662490,5,1966-06-01T00:00:00,1978-07-31T00:00:00,0,,1966-06,1978-07,0
44,2430,1,SAVYON,סביון,34.8735,32.0536,188200,662300,70,1959-01-01T00:00:00,1964-10-31T00:00:00,0,,1964-01,1964-10,0
45,2520,1,BET DAGAN MAN,בית דגן מאוישת,34.8138,32.0073,182550,657190,31,1962-06-01T00:00:00,,0,,1964-01,2024-04,0
46,2522,1,BET DAGAN,בית דגן,34.8138,32.0073,182550,657190,31,2021-08-01T00:00:00,,1,54,2021-08,2024-04,0
47,2523,1,BET DAGAN,בית דגן,34.8138,32.0073,182550,657190,31,1995-11-01T00:00:00,2021-07-31T00:00:00,1,54,1995-11,2021-07,0
48,2524,1,BET DAGAN RAD,בית דגן קרינה,34.8138,32.0073,182550,657190,31,2015-01-01T00:00:00,,1,85,2015-01,2024-04,0
51,2600,1,LOD AIRPORT,לוד נמל תעופה,34.8981,31.995,190500,655800,40,1950-01-01T00:00:00,1971-09-30T00:00:00,0,,1964-01,1971-09,0
52,2610,1,LOD AIRPORT,לוד נמל תעופה,34.897,31.995,190400,655800,40,1971-10-01T00:00:00,1980-05-31T00:00:00,0,,1971-10,1980-05,0
53,2611,1,LOD AIRPORT,לוד נמל תעופה,34.897,31.995,190400,655800,40,1980-06-01T00:00:00,1999-06-30T00:00:00,0,,1980-06,1998-12,0
54,3010,1,ASDOD POWER ST,אשדוד תחנת כח,34.6556,31.8382,167500,638500,5,1959-01-01T00:00:00,1977-10-31T00:00:00,0,,1964-01,1975-04,0
55,3014,1,ASHDOD PORT,אשדוד נמל,34.6374,31.8342,165800,638080,5,2004-07-01T00:00:00,,1,124,2004-07,2024-04,0
56,3015,1,ASHDOD PORT,אשדוד נמל,34.6527,31.8275,167220,637320,10,1969-06-01T00:00:00,2001-11-30T00:00:00,0,,1969-06,1971-08,0
57,3021,1,ASHDOD REFINERIES,אשדוד בתי זיקוק,34.6704,31.8466,168910,639430,35,1996-01-01T00:00:00,2005-12-31T00:00:00,1,52,1999-01,2005-12,0
59,3079,1,QEVUZAT YAVNE,קבוצת יבנה,34.7166,31.8161,173280,636050,50,1980-09-01T00:00:00,1996-01-31T00:00:00,0,,1980-09,1983-12,0
61,3080,1,QEVUZAT YAVNE,קבוצת יבנה,34.722,31.816,173780,636020,55,1951-01-01T00:00:00,1980-08-31T00:00:00,0,,1964-01,1980-08,0
62,3081,1,QEVUZAT YAVNE,קבוצת יבנה,34.7244,31.8166,174000,636080,50,2000-03-01T00:00:00,,1,74,2000-03,2024-04,0
63,3110,1,HAFEZ HAYYIM,חפץ חיים,34.7995,31.7891,181100,633000,80,1971-01-01T00:00:00,1980-02-29T00:00:00,0,,1971-01,1980-02,0
64,3111,1,HAFEZ HAYYIM,חפץ חיים,34.799,31.7914,181050,633250,80,1980-03-01T00:00:00,1991-11-30T00:00:00,0,,1980-03,1983-12,0
67,3113,1,HAFEZ HAYYIM,חפץ חיים,34.805,31.791,181630,633200,80,2004-05-01T00:00:00,,1,121,2004-05,2024-04,0
68,3220,1,NIZZAN,ניצן,34.6348,31.7319,165470,626720,30,2009-01-01T00:00:00,,1,274,2009-01,2024-04,0
69,3499,1,NEGBA,נגבה,34.6841,31.6616,170100,618900,85,1950-01-01T00:00:00,1955-10-31T00:00:00,0,,1950-01,1955-10,0
70,3500,1,NEGBA,נגבה,34.6841,31.6616,170100,618900,85,1955-11-01T00:00:00,1977-09-30T00:00:00,0,,1955-11,1977-09,0
71,3501,1,NEGBA,נגבה,34.6796,31.6596,169700,618700,90,1977-10-01T00:00:00,2002-05-31T00:00:00,0,,1977-10,2002-05,0
72,3502,1,NEGBA,נגבה,34.6798,31.6585,169690,618560,95,2001-06-01T00:00:00,,1,82,2001-06,2024-04,0
73,3541,1,ASHQELON PORT,אשקלון נמל,34.5215,31.6394,154680,616550,5,2006-01-01T00:00:00,,1,208,2007-01,2024-04,0
74,3550,1,GAT MAN,גת מאוישת,34.7913,31.6303,180270,615390,140,1984-01-01T00:00:00,,0,,1984-01,2008-12,0
76,3551,1,GAT,גת,34.7913,31.6303,180270,615390,140,2007-10-01T00:00:00,,1,236,2007-10,2024-04,0
77,3570,1,SEDE MOSHE,שדה משה,34.8008,31.6085,181150,612970,130,1957-06-01T00:00:00,1975-07-31T00:00:00,0,,1964-01,1975-07,0
78,3580,1,QIRYAT GAT AGR FARM,קרית גת חווה חקלאית,34.7903,31.6061,180150,612710,130,1978-01-01T00:00:00,1984-10-31T00:00:00,0,,1978-01,1983-12,0
79,3640,1,EREZ,ארז,34.5667,31.5614,158900,607850,50,1951-05-01T00:00:00,1977-05-31T00:00:00,0,,1964-01,1975-12,0
80,3779,1,SAAD,סעד,34.5358,31.4702,155910,597760,105,1977-01-01T00:00:00,1980-03-31T00:00:00,0,,1977-01,1980-03,0
81,3780,1,SAAD,סעד,34.5336,31.4706,155700,597800,110,1964-08-01T00:00:00,1976-12-31T00:00:00,0,,1964-08,1976-12,0
82,3800,1,BEERI,בארי,34.4919,31.4234,151700,592600,90,1962-04-01T00:00:00,1967-06-30T00:00:00,0,,1964-01,1967-06,0
83,3820,1,REIM,רעים,34.4606,31.3854,148700,588400,50,1962-06-01T00:00:00,1965-04-30T00:00:00,0,,1964-01,1964-03,0
84,3830,1,KISSUFIM,כיסופים,34.3989,31.3748,142820,587270,90,1962-07-01T00:00:00,1965-05-31T00:00:00,0,,1964-01,1965-05,0
85,3831,1,KISSUFIM,כיסופים,34.4018,31.3769,143100,587500,85,1975-02-01T00:00:00,1981-08-31T00:00:00,0,,1975-02,1981-08,0
86,3850,1,NIRIM,נירים,34.3959,31.3354,142500,582900,110,1949-12-01T00:00:00,1965-05-31T00:00:00,0,,1964-01,1965-05,0
87,3890,1,BESOR FARM MAN,בשור חווה מאוישת,34.3894,31.2716,141830,575830,110,1975-09-01T00:00:00,2003-10-31T00:00:00,0,,1975-09,1999-12,0
88,3891,1,BESOR FARM,בשור חווה,34.3894,31.2716,141830,575830,110,1995-03-01T00:00:00,,1,58,1995-03,2024-04,0
90,3919,1,NIR YIZHAQ,ניר יצחק,34.3536,31.2383,138390,572170,95,1976-08-01T00:00:00,1981-11-30T00:00:00,0,,1976-08,1981-11,0
91,3920,1,NIR YIZHAQ,ניר יצחק,34.359,31.2368,138900,572000,95,1953-12-01T00:00:00,1976-07-31T00:00:00,0,,1964-01,1976-07,0
92,4080,1,KEFAR GILADI,כפר גלעדי,35.5749,33.2403,253970,793920,345,1958-01-01T00:00:00,1978-08-31T00:00:00,0,,1964-01,1973-03,0
93,4087,1,KEFAR GILADI,כפר גלעדי,35.5696,33.2404,253490,793950,365,2007-10-01T00:00:00,,1,241,2007-10,2024-04,0
94,4090,1,MASAADA,מסעדה,35.7592,33.2342,271160,793320,960,1969-04-01T00:00:00,1983-08-31T00:00:00,0,,1969-04,1983-08,0
95,4130,1,EL ROM,אל -רום,35.7702,33.1819,272210,787520,1060,1973-12-01T00:00:00,1992-03-31T00:00:00,0,,1973-12,1983-12,0
96,4190,1,MEROM GOLAN PICMAN MAN,מרום גולן פיכמן מאוישת,35.8056,33.1312,275550,781920,942,1977-02-01T00:00:00,2002-02-28T00:00:00,0,,1977-02,2001-12,0
97,4191,1,MEROM GOLAN PICMAN,מרום גולן פיכמן,35.8045,33.1288,275450,781650,945,1998-01-01T00:00:00,,1,10,1998-01,2024-04,0
98,4200,1,KUNEITRA - NURSERY,קונטרה - משתלה,35.8056,33.1312,275550,781920,942,1968-11-01T00:00:00,1973-09-30T00:00:00,0,,1968-11,1973-09,0
99,4430,1,BARAM - MATITYAHU FARM,ברעם - חוות מתתיהו,35.4539,33.0646,242750,774400,680,1981-05-01T00:00:00,1996-10-31T00:00:00,0,,1981-05,1983-12,0
100,4440,1,ELON MAN,אילון מאוישת,35.2173,33.0653,220660,774470,300,1974-06-01T00:00:00,,0,,1974-06,2003-12,0
102,4441,1,ELON,אילון,35.2173,33.0653,220660,774470,300,1999-01-01T00:00:00,,1,73,1999-01,2024-04,0
103,4480,1,SASA,סאסא,35.3955,33.0286,237300,770400,875,1951-04-01T00:00:00,1971-11-30T00:00:00,0,,1951-01,1971-11,0
104,4485,1,HURFEISH,חורפיש,35.3444,33.0155,232540,768960,640,2023-03-17T00:00:00,,0,,2023-03,2024-04,0
105,4640,1,ZEFAT HAR KENAAN MAN,צפת הר כנען מאוישת,35.507,32.98,247740,765030,936,1939-01-01T00:00:00,,0,,1939-01,2024-04,0
106,4642,1,ZEFAT HAR KENAAN,צפת הר כנען,35.507,32.98,247740,765030,936,1999-05-01T00:00:00,,1,62,1999-05,2024-04,0
107,4680,1,YONATAN,יונתן,35.7956,32.9374,274740,760420,560,1979-02-01T00:00:00,1980-08-31T00:00:00,0,,1979-02,1980-08,0
108,4695,1,HARASHIM,חרשים,35.3288,32.956,231080,762330,825,1986-06-01T00:00:00,2008-06-30T00:00:00,0,,1986-06,2008-06,0
109,4696,1,HARASHIM,חרשים,35.3287,32.956,231070,762330,830,2008-09-01T00:00:00,,1,269,2008-09,2024-04,0
110,4721,1,MORAN,מורן,35.3963,32.9195,237400,758300,335,1978-12-01T00:00:00,1980-12-31T00:00:00,0,,1978-12,1980-12,0
111,4728,1,MORAN,מורן,35.3963,32.9195,237400,758300,335,1992-05-01T00:00:00,1994-04-30T00:00:00,0,,1992-05,1994-04,0
112,4729,1,HANANYA FARM,חוות חנניה,35.4208,32.9357,239680,760100,420,1960-02-01T00:00:00,1970-12-31T00:00:00,0,,1964-01,1970-12,0
113,4730,1,KARMIEL,כרמיאל,35.3055,32.9124,228900,757500,210,1965-06-01T00:00:00,1969-03-31T00:00:00,0,,1965-06,1969-03,0
114,4731,1,KARMIEL,כרמיאל,35.3055,32.9124,228900,757500,210,1976-12-01T00:00:00,1979-05-31T00:00:00,0,,1976-12,1979-05,0
116,4738,1,GAMLA,גמלא,35.7487,32.9052,270380,756840,405,2007-06-01T00:00:00,,1,227,2007-07,2024-04,0
117,4740,1,ESHHAR,אשחר,35.3015,32.8844,228530,754390,370,2005-11-01T00:00:00,2014-09-30T00:00:00,1,205,2007-01,2014-09,0
118,4741,1,ESHHAR,אשחר,35.3013,32.8846,228510,754430,373,2014-10-01T00:00:00,,1,205,2014-10,2024-04,0
119,4749,1,LESHEM,לשם,35.2792,32.8571,226450,751360,345,1986-08-01T00:00:00,2008-12-31T00:00:00,0,,1986-08,2003-12,0
120,4756,1,DEIR HANNA,דייר חנא,35.3741,32.8621,235330,751930,280,2003-01-01T00:00:00,2018-04-30T00:00:00,1,99,2002-11,2018-04,0
121,4757,1,DEIR HANNA,דייר חנא,35.3741,32.8627,235320,752000,285,2020-03-01T00:00:00,,1,99,2020-03,2024-04,0
122,4770,1,YODFAT,יודפת,35.2723,32.8367,225800,749100,460,1964-01-01T00:00:00,1968-11-30T00:00:00,0,,1964-01,1968-01,0
123,4798,1,AVNE ETAN,אבני איתן,35.7622,32.8174,271680,747090,375,1996-01-01T00:00:00,,1,2,1996-01,2024-04,0
124,4799,1,AVNE ETAN MAN,אבני איתן מאוישת,35.7622,32.8174,271680,747090,375,1986-02-01T00:00:00,2008-09-30T00:00:00,0,,1986-02,1999-12,0
126,4840,1,ELI-AD -  EL-AL,אלי-עד (אל-על),35.7463,32.8022,270200,745400,370,1968-12-01T00:00:00,1970-03-31T00:00:00,0,,1968-12,1970-03,0
127,4900,1,LAVI,לביא,35.4388,32.786,241400,743500,300,1966-01-01T00:00:00,1968-10-31T00:00:00,0,,1966-01,1968-10,0
128,4915,1,GIVAT YOAV,גבעת יואב,35.6822,32.7988,264200,745000,320,1970-09-01T00:00:00,1978-01-31T00:00:00,0,,1970-09,1974-12,0
129,5200,1,NEWE YAAR MAN,נווה יער מאוישת,35.1784,32.7078,217010,734820,115,1949-01-01T00:00:00,,0,,1949-01,1983-12,0
131,5201,1,NEWE YAAR,נווה יער,35.1784,32.7078,217010,734820,115,2005-04-01T00:00:00,,1,186,2005-04,2024-04,0
132,5260,1,NAZARETH,נצרת,35.3034,32.7104,228740,735110,460,2023-09-20T00:00:00,,1,,2023-09,2024-04,0
133,5280,1,NAZARETH UPPER TOWN,נצרת עילית,35.3209,32.7054,230370,734540,490,1959-03-01T00:00:00,1988-03-31T00:00:00,0,,1964-01,1988-03,0
134,5358,1,TAVOR KADOORIE,תבור כדורי,35.4056,32.7054,238310,734550,145,1996-01-01T00:00:00,,1,13,1997-01,2024-04,0
135,5360,1,TAVOR KADOORIE,תבור כדורי,35.4069,32.7053,238440,734540,145,1939-01-01T00:00:00,1981-04-30T00:00:00,0,,1939-01,1981-04,0
136,5370,1,YAVNE'EL MAN,יבנאל מאוישת,35.5101,32.6978,248110,733730,0,1983-08-01T00:00:00,2000-02-29T00:00:00,0,,1983-08,1999-12,0
137,5371,1,YAVNEEL,יבנאל,35.5101,32.6978,248110,733730,0,1996-02-01T00:00:00,,1,11,1997-01,2024-04,0
138,5580,1,MIZRA,מזרע,35.2868,32.65,227180,728390,105,1981-05-01T00:00:00,1984-01-31T00:00:00,0,,1981-05,1983-12,0
139,5730,1,MISHMAR HA EMEQ,משמר העמק,35.1421,32.6108,213600,724050,100,1939-02-01T00:00:00,1989-03-31T00:00:00,0,,1964-01,1983-12,0
140,5771,1,MERHAVYA,מרחביה,35.3075,32.6028,229120,723160,60,2008-05-01T00:00:00,2017-06-30T00:00:00,1,264,2008-05,2017-06,0
141,5800,1,AFULA SOUTH WEST,עפולה דרום מערב,35.2833,32.6068,226850,723600,60,1950-03-01T00:00:00,1977-12-31T00:00:00,0,,1964-01,1977-12,0
142,5811,1,AFULA NIR HAEMEQ,עפולה ניר העמק,35.2769,32.596,226260,722410,60,1996-01-01T00:00:00,,1,16,2004-01,2024-04,0
143,5820,1,RAMAT ZEVI,רמת צבי,35.4193,32.5907,239620,721840,70,1973-10-01T00:00:00,1974-09-30T00:00:00,0,,1973-10,1974-08,0
144,5821,1,RAMAT ZEVI,רמת צבי,35.4193,32.5907,239620,721840,70,1974-10-01T00:00:00,1975-10-31T00:00:00,0,,1974-10,1975-09,0
145,5838,1,EN HAROD IHUD,עין חרוד איחוד,35.392,32.5639,237060,718860,50,1980-10-01T00:00:00,1991-08-31T00:00:00,0,,1980-10,1982-12,0
146,5841,1,TEL YOSEF,תל יוסף,35.3945,32.5476,237300,717050,-65,1996-01-01T00:00:00,2006-09-30T00:00:00,1,17,2005-01,2006-09,0
147,5843,1,TEL YOSEF,תל יוסף,35.3945,32.5462,237300,716900,-65,2007-12-01T00:00:00,2014-12-31T00:00:00,1,257,2007-12,2014-12,0
148,5844,1,TEL YOSEF,תל יוסף,35.3921,32.5454,237080,716820,-65,2015-08-01T00:00:00,,1,442,2015-06,2024-04,0
149,5940,1,HEFZI BAH GILBOA,חפצי-בה גלבוע,35.4274,32.5178,240400,713750,-80,1938-11-01T00:00:00,1985-12-31T00:00:00,0,,1964-01,1983-12,0
150,6053,1,MAALE GILBOA MAN,מעלה גלבוע מאוישת,35.4212,32.4749,239830,708990,430,1974-09-01T00:00:00,2008-04-30T00:00:00,0,,1974-09,1983-12,0
152,6055,1,MAALE GILBOA,מעלה גלבוע,35.415,32.481,239230,709670,495,2007-02-01T00:00:00,,1,224,2007-02,2024-04,0
153,6100,1,EN HA NAZIV,"עין הנצי""""ב",35.5013,32.4707,247360,708550,-130,1956-03-01T00:00:00,1973-12-31T00:00:00,0,,1964-01,1973-12,0
154,6101,1,EDEN FARM,חוות עדן,35.4889,32.4679,246190,708240,-120,1996-01-01T00:00:00,,1,206,1996-01,2024-04,0
155,6247,1,QARNE SHOMERON,קרני שומרון,35.0959,32.1752,209220,675740,330,2004-07-01T00:00:00,,1,20,2007-01,2024-04,0
156,6251,1,ITAMAR,איתמר,35.3513,32.1598,233320,674050,820,2004-05-01T00:00:00,,1,90,2004-05,2024-04,0
157,6260,1,ARIEL,אריאל,35.1774,32.1063,216900,668100,590,1989-09-01T00:00:00,1999-02-28T00:00:00,0,,1989-09,1999-02,0
158,6261,1,ARIEL,אריאל,35.1774,32.1063,216900,668100,590,1996-01-01T00:00:00,2000-08-31T00:00:00,1,21,1997-01,2000-08,0
159,6262,1,ARIEL COLLEGE,אריאל מכללה,35.2114,32.1056,220110,668020,685,2000-11-01T00:00:00,,1,21,2000-11,2024-04,0
160,6301,1,HAR HARASHA,הר חרשה,35.1499,31.9449,214290,650210,770,2001-10-01T00:00:00,,1,24,2004-01,2024-04,0
161,6390,1,JERUSALEM AIRPORT,ירושלים נמל תעופה,35.2173,31.8642,220670,641250,757,1967-06-01T00:00:00,2000-09-30T00:00:00,0,,1967-06,2000-09,0
162,6490,1,NAHSHON,נחשון,34.9616,31.8341,196460,637940,180,2008-01-01T00:00:00,,1,259,2008-01,2024-04,0
163,6550,1,BET NEQOFA,בית נקופה,35.1363,31.8123,213000,635500,790,1979-02-01T00:00:00,1986-12-31T00:00:00,0,,1979-02,1983-12,0
164,6661,1,MA'ALE ADUMMIM,מעלה אדומים,35.2964,31.7735,228150,631200,485,1984-02-01T00:00:00,1987-12-31T00:00:00,0,,1984-02,1987-12,0
165,6662,1,MA'ALE ADUMMIM,מעלה אדומים,35.2961,31.774,228130,631250,490,1991-08-01T00:00:00,2002-04-30T00:00:00,0,,1991-08,2002-04,0
166,6663,1,MA'ALE ADUMMIM,מעלה אדומים,35.2961,31.774,228130,631250,490,2007-01-01T00:00:00,,1,218,2007-01,2024-04,0
167,6770,1,JERUSALEM CENTRE MAN,ירושלים מרכז מאוישת,35.2217,31.7806,221080,631980,810,1950-01-01T00:00:00,2015-02-28T00:00:00,0,,1950-01,2015-02,0
168,6771,1,JERUSALEM CENTRE,ירושלים מרכז,35.2217,31.7806,221080,631980,810,1996-01-01T00:00:00,,1,23,1997-01,2024-04,0
169,7011,1,ZOVA,צובה,35.1258,31.7878,212000,632780,710,2004-10-01T00:00:00,,1,188,2004-10,2024-04,0
170,7020,1,JERUSALEM GIVAT RAM,ירושלים גבעת רם,35.1973,31.7704,218770,630850,770,2001-03-01T00:00:00,,1,22,2001-03,2024-04,0
172,7060,1,ZOR'A,צרעה,34.9665,31.7613,196910,629870,190,1964-01-01T00:00:00,1972-06-30T00:00:00,0,,1964-01,1972-06,0
173,7150,1,BEIT JIMAL MAN,בית ג'מל מאוישת,34.9762,31.7248,197830,625830,355,1920-01-01T00:00:00,2009-09-30T00:00:00,0,,1920-01,2008-02,0
174,7151,1,BEIT JIMAL,בית ג'מל,34.9762,31.7248,197830,625830,355,2003-01-01T00:00:00,,1,75,2004-01,2024-04,0
175,7160,1,HAR GILO,הר גילה,35.1712,31.723,216300,625600,915,1980-10-01T00:00:00,1986-07-31T00:00:00,0,,1980-10,1983-12,0
176,7210,1,AVIEZER,אביעזר,35.0225,31.6832,202200,621200,435,1980-10-01T00:00:00,1982-11-30T00:00:00,0,,1980-10,1982-11,0
177,7220,1,NETIV HALAMED HE,"נתיב הל""""ה",34.9744,31.6898,197640,621940,275,1997-09-01T00:00:00,,1,25,1997-09,2024-04,0
179,7240,1,MEVO BETAR,מבוא ביתר,35.1043,31.7223,209960,625520,760,1961-02-01T00:00:00,1965-12-31T00:00:00,0,,1964-01,1965-12,0
180,7244,1,ROSH ZURIM MAN,ראש צורים מאוישת,35.1255,31.6679,211960,619490,950,1983-06-01T00:00:00,,0,,1983-06,1983-12,0
182,7245,1,ROSH ZURIM,ראש צורים,35.1264,31.668,212050,619500,950,1970-12-01T00:00:00,1983-03-31T00:00:00,0,,1970-12,1983-03,0
183,7246,1,ROSH ZURIM,ראש צורים,35.1233,31.6644,211770,619110,950,2003-01-01T00:00:00,,1,77,2003-01,2024-04,0
184,7330,1,DOROT,דורות,34.6439,31.5099,166200,602100,110,1953-02-01T00:00:00,2001-09-30T00:00:00,0,,1953-02,1983-12,0
186,7333,1,DOROT,דורות,34.648,31.5036,166600,601390,115,2004-07-01T00:00:00,,1,79,2007-01,2024-04,0
187,7409,1,LAHAV,להב,34.8708,31.3827,187710,587910,470,1967-01-01T00:00:00,1977-04-30T00:00:00,0,,1967-01,1977-04,0
188,7410,1,LAHAV,להב,34.8675,31.3799,187400,587600,460,1953-07-01T00:00:00,1966-12-31T00:00:00,0,,1964-01,1966-12,0
189,7415,1,LAHAV MAN,להב מאוישת,34.8729,31.3812,187910,587750,460,1978-01-01T00:00:00,,0,,1978-01,2024-04,0
190,7416,1,LAHAV,להב,34.8729,31.3812,187910,587750,460,2010-07-01T00:00:00,,1,350,2010-07,2024-04,0
191,7490,1,SHANI,שני,35.0662,31.3568,206300,585000,700,2004-10-01T00:00:00,,1,28,2004-10,2024-04,0
192,7500,1,MISHMAR HA NEGEV,משמר הנגב,34.7183,31.3623,173200,585700,200,1951-01-01T00:00:00,1973-03-31T00:00:00,0,,1964-01,1973-03,0
193,7518,1,YATTIR,יתיר,35.0347,31.3378,203300,582900,650,1966-10-01T00:00:00,1974-06-30T00:00:00,0,,1966-10,1974-06,0
194,7519,1,YATTIR,יתיר,35.0345,31.3377,203280,582890,650,1974-07-01T00:00:00,2001-05-31T00:00:00,0,,1974-07,1983-12,0
195,7580,1,GILAT EXP STATION,גילת תח. נסיונות,34.6659,31.3346,168200,582650,145,1953-08-01T00:00:00,1985-04-30T00:00:00,0,,1964-01,1983-12,0
196,7700,1,URIM,אורים,34.5245,31.3049,154720,579440,100,1962-04-01T00:00:00,1965-11-30T00:00:00,0,,1964-01,1965-11,0
